date,biome,fire_power,had_fire_outbreak,precip_sum,temp_mean,hum_mean,had_min_rain,had_strong_rain,days_wo_rain,days_wo_strong_rain
2010-01-01,Amazonia,,1.0,11.620535714285714,25.25815710262873,84.44870006988872,213.0,190.0,0.5245535714285714,0.5758928571428571
2010-01-01,Caatinga,,2.0,8.090909090909092,25.350466167355368,76.64943181818182,362.0,224.0,0.5886363636363636,0.7454545454545455
2010-01-01,Cerrado,,1.0,12.396488147497806,23.557138118457413,84.72560402812907,737.0,445.0,0.35294117647058826,0.6093064091308165
2010-01-01,Mata Atlantica,,5.0,4.196539792387544,23.436013062514007,77.60565212018311,523.0,276.0,0.7414730598121602,0.8635689569945625
2010-01-01,Pampa,,2.0,0.0,22.691377887788775,69.26113861386139,0.0,0.0,1.0,1.0
2010-01-01,Pantanal,,0.0,2.7875,25.704427083333336,82.72916666666667,6.0,1.0,0.625,0.9375
2010-01-02,Amazonia,,6.0,12.057011494252874,25.227123040033444,85.12756049197398,240.0,150.0,0.7195402298850575,1.0436781609195402
2010-01-02,Caatinga,,6.0,9.606818181818182,25.07701795412688,76.88336187619531,437.0,271.0,0.8352272727272727,1.2238636363636364
2010-01-02,Cerrado,,1.0,7.331083481349911,24.11922228940943,80.69191511599452,489.0,248.0,0.8134991119005328,1.2833037300177619
2010-01-02,Mata Atlantica,,12.0,2.190608007909046,24.44658948327064,74.48198854834502,283.0,112.0,1.5175481957488879,1.7607513593672763
2010-01-02,Pampa,,1.0,0.0,25.532178217821784,71.78333333333333,0.0,0.0,2.0,2.0
2010-01-02,Pantanal,,0.0,40.0,25.0171875,89.11979166666666,14.0,9.0,0.25,0.8125
2010-01-03,Amazonia,,3.0,9.53125,25.777348717154094,82.7476752847922,168.0,71.0,1.1517857142857142,1.7008928571428572
2010-01-03,Caatinga,,0.0,5.90659090909091,25.330490081811277,75.6220947449677,323.0,187.0,1.2420454545454545,1.771590909090909
2010-01-03,Cerrado,,4.0,1.4888297872340426,25.35504890168381,73.51098871632414,198.0,18.0,1.5593971631205674,2.25
2010-01-03,Mata Atlantica,,8.0,2.8170044488383588,24.993422141127972,74.38499672330285,492.0,208.0,1.9288185862580327,2.4918437963420663
2010-01-03,Pampa,,2.0,2.6,25.36155115511551,73.67285478547855,24.0,8.0,2.287128712871287,2.762376237623762
2010-01-03,Pantanal,,0.0,3.9749999999999996,26.275260416666665,81.14583333333333,9.0,2.0,0.6875,1.4375
2010-01-04,Amazonia,,21.0,4.840089086859689,26.754253358390915,78.25930755726453,135.0,59.0,1.6926503340757237,2.305122494432071
2010-01-04,Caatinga,,15.0,3.569318181818182,26.036259337253654,71.93960346787051,271.0,73.0,1.4897727272727272,2.4863636363636363
2010-01-04,Cerrado,,11.0,2.6994671403197157,26.066601316948365,69.56493212694772,180.0,104.0,2.266429840142096,2.9618117229129663
2010-01-04,Mata Atlantica,,15.0,11.875827978250124,24.969872530341025,76.26176861671078,754.0,475.0,2.019278299555116,2.7859614434008897
2010-01-04,Pampa,,0.0,32.15643564356435,24.274009900990098,86.77846534653466,70.0,51.0,1.2277227722772277,1.9801980198019802
2010-01-04,Pantanal,,1.0,0.125,28.213802083333334,72.73958333333333,0.0,0.0,1.6875,2.4375
2010-01-05,Amazonia,,64.0,2.1643652561247215,27.397709170821066,75.82878805758791,104.0,30.0,2.2182628062360803,3.1469933184855234
2010-01-05,Caatinga,,12.0,1.5404545454545455,26.461655460858587,68.9544586489899,85.0,40.0,2.209090909090909,3.3
2010-01-05,Cerrado,,49.0,1.780994671403197,26.19741317952019,70.32550698798309,129.0,52.0,2.847246891651865,3.7992895204262878
2010-01-05,Mata Atlantica,,4.0,6.096688086999506,24.942081832733095,76.68367349613642,728.0,464.0,2.2150271873455263,3.2521008403361344
2010-01-05,Pampa,,0.0,8.730693069306932,25.663578500707214,84.75452380952382,42.0,34.0,1.297029702970297,1.891089108910891
2010-01-05,Pantanal,,1.0,0.5866666666666667,28.816111111111113,70.13888888888889,2.0,0.0,2.2666666666666666,3.3333333333333335
2010-01-06,Amazonia,,33.0,2.4247191011235953,27.45130521912544,76.0937885643768,71.0,33.0,2.946067415730337,3.8337078651685395
2010-01-06,Caatinga,,62.0,1.5240909090909092,26.64172963599399,68.22356923379651,102.0,58.0,2.7852272727272727,4.030681818181818
2010-01-06,Cerrado,,21.0,7.580639431616341,25.357122946120242,75.65348911316975,462.0,178.0,2.3010657193605684,4.160746003552398
2010-01-06,Mata Atlantica,,12.0,8.062086010874939,24.61074023075866,78.51586802785786,985.0,500.0,1.9896193771626298,3.3460207612456747
2010-01-06,Pampa,,0.0,19.15247524752475,23.90375412541254,86.18869636963697,79.0,57.0,0.5643564356435643,1.9108910891089108
2010-01-06,Pantanal,,5.0,0.7125,29.337239583333332,69.1015625,3.0,0.0,2.5625,4.125
2010-01-07,Amazonia,,69.0,4.414699331848553,27.052076107480747,79.12782583842643,134.0,59.0,2.844097995545657,4.216035634743875
2010-01-07,Caatinga,,7.0,2.266363636363636,26.379650658103856,69.97055974328701,81.0,49.0,3.515909090909091,4.660227272727273
2010-01-07,Cerrado,,11.0,8.910479573712257,24.535413745025938,80.60534825971254,622.0,356.0,1.7708703374777974,3.5737122557726466
2010-01-07,Mata Atlantica,,8.0,4.850914483440435,23.905730735834595,80.0965134770853,694.0,296.0,2.2580326248146316,3.805734058329214
2010-01-07,Pampa,,0.0,2.6811881188118813,20.70294929492949,74.95537053705371,14.0,14.0,1.386138613861386,2.732673267326733
